name,address,gmap_id,description,latitude,longitude,category,avg_rating,num_of_reviews,price,hours,MISC,status,relative_results,url,state
Carnelian Woods,"Carnelian Woods, 5101 N Lake Blvd, Carnelian Bay, CA 96140",0x8099634fc90bfb33:0x518018c7b42daa0,,39.2307585,-120.0814628,['Condominium complex'],4.5,18,,,,,"['0x8099634da316393f:0x8f7ffaaa872c2e8a', '0x809963528654b791:0xb2887250518eb79a', '0x8099635a2dd5a9c3:0x385b94e8ed78b255', '0x80997d76783184b5:0x3fc1ad8ae16b41ab', '0x809964b01108f383:0x16cb1dc61461b511']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x8099634fc90bfb33:0x518018c7b42daa0?authuser=-1&hl=en&gl=us,California
Manteca Dental Care: Rick Van Tran DDS,"Manteca Dental Care: Rick Van Tran DDS, 1007 S Main St, Manteca, CA 95337",0x809041ae12f4d7e9:0x156892ff87bf5300,,37.7887659,-121.2163488,"['Dentist', 'Cosmetic dentist', 'Dental clinic', 'Dental implants periodontist', 'Emergency dental service']",4.7,218,,"[['Sunday', 'Closed'], ['Monday', '8AM–5PM'], ['Tuesday', '8AM–5PM'], ['Wednesday', '8AM–5PM'], ['Thursday', '8AM–5PM'], ['Friday', '8AM–5PM'], ['Saturday', 'Closed']]","{'Highlights': ['LGBTQ friendly'], 'Accessibility': ['Wheelchair accessible entrance', 'Wheelchair accessible restroom'], 'Amenities': ['Restroom'], 'Planning': ['Appointments recommended']}",Closed ⋅ Opens 8AM Mon,"['0x809040414e76fa8b:0xc98de8c33363f249', '0x8090406a6a692803:0x70f6589bed131986', '0x809041af275aad9d:0xea26a642700caa5f', '0x80901548bf1ca8ef:0x28092511c9dde66']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x809041ae12f4d7e9:0x156892ff87bf5300?authuser=-1&hl=en&gl=us,California
G&P Insurance Inc,"G&P Insurance Inc, 4930 Golden Gate Pkwy, Naples, FL 34116",0x88dae4b916e0edbf:0x62f9a082c713d53e,,26.1794617,-81.70706009999999,['Insurance agency'],4.7,87,,"[['Sunday', 'Closed'], ['Monday', '9AM–5:30PM'], ['Tuesday', '9AM–5:30PM'], ['Wednesday', '9AM–5:30PM'], ['Thursday', '9AM–5:30PM'], ['Friday', '9AM–5PM'], ['Saturday', 'Closed']]",,Closed ⋅ Opens 9AM Mon,"['0x88dafd37d5512381:0xd16ae9e5ac0546b4', '0x88dae2a757ddf1eb:0xfe9dd1d60031d8b6', '0x88db1dcd42b75cab:0xfec46679ed19c6df', '0x88db1765b7df4b09:0xe7d228a375f756e3', '0x88dae3ce173dcdc1:0xce97d75e472fb095']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88dae4b916e0edbf:0x62f9a082c713d53e?authuser=-1&hl=en&gl=us,Florida
"Coastal Pool Service and Maintenance, Inc","Coastal Pool Service and Maintenance, Inc, 1106 Cape Coral Pkwy E, Cape Coral, FL 33904",0x88db3f53760505a7:0x80f4afcf1276f6a4,,26.5622615,-81.950788,"['Swimming pool', 'Pool cleaning service']",3.9,108,,"[['Sunday', 'Closed'], ['Monday', '7AM–5PM'], ['Tuesday', '7AM–5PM'], ['Wednesday', '7AM–5PM'], ['Thursday', '7AM–5PM'], ['Friday', '7AM–5PM'], ['Saturday', 'Closed']]",,Closed ⋅ Opens 7AM Mon,"['0x88db40d83812ccd7:0x89ff22c15db2d01', '0x88db38b7b8197ed3:0xa1bb57cef9fe5ac3', '0x88db46ab1c32c889:0x34cb702bf60a821b', '0x88db47242c4eed83:0x5b260e566b82321', '0x88db47f40b0aff6b:0xa6fff76b8b095514']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88db3f53760505a7:0x80f4afcf1276f6a4?authuser=-1&hl=en&gl=us,Florida
Crom Equipment Rentals Inc,"Crom Equipment Rentals Inc, 6801 SW Archer Rd, Gainesville, FL 32608",0x88e8bd15c55d07d5:0xd82e1a49e89c944d,,29.6000995,-82.4133224,['Scaffolding rental service'],4.4,15,,"[['Sunday', 'Closed'], ['Monday', '8AM–4:30PM'], ['Tuesday', '8AM–4:30PM'], ['Wednesday', '8AM–4:30PM'], ['Thursday', '8AM–4:30PM'], ['Friday', '8AM–4:30PM'], ['Saturday', 'Closed']]",{'Accessibility': ['Wheelchair accessible entrance']},Closed ⋅ Opens 8AM Mon,"['0x88e8a32c8ee82099:0x1eb9d21789006216', '0x88e8a3455f739f83:0x1334ac88637e6e9f', '0x88e8a504d9fbd1d5:0x3549d6fedd2e3c34', '0x88e8a50fc1ab9c89:0xdcac793cb16d9f97']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e8bd15c55d07d5:0xd82e1a49e89c944d?authuser=-1&hl=en&gl=us,Florida
"Guillermo Lievano, DO","Guillermo Lievano, DO, 8525 SW 92nd St d13, Miami, FL 33156",0x88d9c719e45db60b:0xecd6a922ec9caec0,,25.6851005,-80.33379359999999,"['Obstetrician-gynecologist', 'Fertility physician']",4.9,128,,"[['Tuesday', '8:30AM–5PM'], ['Wednesday', '8:30AM–5PM'], ['Thursday', '8:30AM–5PM'], ['Friday', '8:30AM–1PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '8:30AM–5PM']]","{'Accessibility': ['Wheelchair accessible entrance'], 'Planning': ['Appointments recommended']}",Closed ⋅ Opens 8:30AM Wed,"['0x88d9c7f20147a907:0xc5ba871353be68b1', '0x88d9c7be3c7d3d4f:0x9babaa51f55fe53a', '0x88d9c7104b78a273:0xb519378a462963e1', '0x88d9c719e45db60b:0x9949a5f6842dd8a2']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d9c719e45db60b:0xecd6a922ec9caec0?authuser=-1&hl=en&gl=us,Florida
Matt & Tony's,"Matt & Tony's, 10710 Sepulveda Blvd, Mission Hills, CA 91345",0x80c29066f677a83f:0xb3b85c11e07e3f63,,34.2649907,-118.4669653,['Sandwich shop'],4.2,88,,"[['Sunday', '11AM–7PM'], ['Monday', '11AM–7PM'], ['Tuesday', '11AM–7PM'], ['Wednesday', '11AM–7PM'], ['Thursday', '11AM–7PM'], ['Friday', '11AM–7PM'], ['Saturday', '11AM–7PM']]","{'Service options': ['Takeout'], 'Popular for': ['Lunch', 'Dinner', 'Solo dining'], 'Offerings': ['Comfort food', 'Quick bite'], 'Atmosphere': ['Casual']}",Opens soon ⋅ 11AM,"['0x80c29a134a25c3ab:0x1a229aed394fe492', '0x80c29755d30b854d:0x749643d0e327229', '0x80c29061b0dab919:0x40b71aa2c2cad8ef', '0x80c2be23076b0e41:0x99f12326156e0287', '0x80c2955ea7a26dcf:0xc3ec6156e4facf56']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c29066f677a83f:0xb3b85c11e07e3f63?authuser=-1&hl=en&gl=us,California
Puppy Heaven - Teacup & Toy Puppies For Sale,"Puppy Heaven - Teacup & Toy Puppies For Sale, 2075 Newport Blvd #107, Costa Mesa, CA 92627",0x80dcdf9b3f00d41d:0x88325342642af142,,33.650089099999995,-117.9113439,['Dog breeder'],2.9,56,,"[['Friday', '10AM–2PM'], ['Saturday', 'Closed'], ['Sunday', '10AM–6PM'], ['Monday', '10AM–6PM'], ['Tuesday', '10AM–6PM'], ['Wednesday', '10AM–6PM'], ['Thursday', '10AM–6PM']]",,Permanently closed,"['0x80dc9d3e7b0dcf47:0x1dc5b24e5dcef738', '0x80dd2a1383ed4383:0xf9748824b56e2215', '0x80c32d741c2d5541:0xf41357d418392a9d', '0x80dcdf1e35cbcb5f:0x7ec5e81cd6d5da6e']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x80dcdf9b3f00d41d:0x88325342642af142?authuser=-1&hl=en&gl=us,California
The Walk on University,"The Walk on University, 2920 N University Dr, Coral Springs, FL 33065, United States",0x88d90539da88f353:0xd9da7c917d11459e,,26.2649929,-80.2507715,"['Shopping mall', 'Condominium complex']",4.5,1754,,"[['Saturday', '11AM–11PM'], ['Sunday', '11AM–10PM'], ['Monday', '11AM–10PM'], ['Tuesday', '11AM–10PM'], ['Wednesday', '11AM–10PM'], ['Thursday', '11AM–10PM'], ['Friday', '11AM–11PM']]","{'Service options': ['In-store shopping'], 'Accessibility': ['Wheelchair-accessible entrance']}",Open ⋅ Closes 11PM,"['0x88d90534fc32627b:0xca50c6c2db4343d0', '0x88d91aea9d0ed6cd:0x78b9dfbfb0b8afe8', '0x88d9050fc66117e1:0x9493c76595689241', '0x88d90512a6c71291:0x5c3ca796c356b3f7', '0x88d9053e99d56ff9:0xcba4de394fbfd92c']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d90539da88f353:0xd9da7c917d11459e?authuser=-1&hl=en&gl=kr,Florida
Daytona Beach Ocean Walk,"Daytona Beach Ocean Walk, 300 N Atlantic Ave, Daytona Beach, FL 32118",0x88e6da406ac00001:0x9f83ce1ade33d8a0,,29.2324338,-81.01049189999999,['Travel agency'],4.3,54,,"[['Sunday', 'Open 24 hours'], ['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours'], ['Friday', 'Open 24 hours'], ['Saturday', 'Open 24 hours']]",{'Accessibility': ['Wheelchair accessible entrance']},Open 24 hours,"['0x88dd8010d7e1eaa5:0x24afe675f528927b', '0x88e6da401514de2f:0xd1d4a52187dddc47', '0x88e6da3ff62cd6ed:0xafc0578e137d2229', '0x88e6d9fb39103611:0x8eaff16aabe46f60']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e6da406ac00001:0x9f83ce1ade33d8a0?authuser=-1&hl=en&gl=us,Florida
Patriot Flooring Supplies,"Patriot Flooring Supplies, 342 Pike Rd Suite 14, West Palm Beach, FL 33411",0x88d928dd859e8047:0xb3993882fadbf6be,,26.6835826,-80.1650641,"['Flooring store', 'Carpet store', 'Professional services']",4.7,18,,"[['Tuesday', '7AM–4PM'], ['Wednesday', '7AM–4PM'], ['Thursday', '7AM–4PM'], ['Friday', '7AM–4PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '7AM–4PM']]","{'Service options': ['Curbside pickup', 'Delivery', 'In-store pickup', 'In-store shopping', 'Same-day delivery'], 'Accessibility': ['Wheelchair accessible elevator', 'Wheelchair accessible entrance', 'Wheelchair accessible parking lot'], 'Offerings': ['Service guarantee'], 'Planning': ['Quick visit'], 'Payments': ['Debit cards', 'Credit cards']}",Open ⋅ Closes 4PM,"['0x88d8d63bf3900d03:0xfa461d9758949c09', '0x88d92edc2934ee8b:0x72818a770b2e8a33', '0x88d92efaa83dc113:0xfa0484fbf9fa42f2', '0x88d928ddf5945ab5:0x27d576e47e64c028']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88d928dd859e8047:0xb3993882fadbf6be?authuser=-1&hl=en&gl=us,Florida
Shell,"Shell, 9115 Merrill Rd, Jacksonville, FL 32225",0x88e5b37b5b148be3:0x83cacd434f515be6,,30.352847,-81.54971599999999,"['Gas station', 'Alternative fuel station', 'ATM', 'Car wash', 'Convenience store', 'Electric vehicle charging station', 'Restaurant']",3.7,34,$$,"[['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours'], ['Friday', 'Open 24 hours'], ['Saturday', 'Open 24 hours'], ['Sunday', 'Open 24 hours']]","{'Accessibility': ['Wheelchair accessible entrance'], 'Offerings': ['Car wash', 'Full service gas'], 'Amenities': ['Public restroom', 'Restroom']}",Open 24 hours,"['0x88e5b38169d1d09b:0x3065c6ddad1d1ac7', '0x88e5b38613518c97:0x345162cb52c5552d', '0x88e5b38bc16794b7:0x4309992fda5de55c', '0x88e5cb70fda92cd3:0xbad1af0f34b04f46', '0x88e5b37b5e94427f:0x7ce8846795a8a195']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88e5b37b5b148be3:0x83cacd434f515be6?authuser=-1&hl=en&gl=us,Florida
Lavanderia Las Burbujas,"Lavanderia Las Burbujas, Lynwood, CA 90262",0x80c2cb8c539557c1:0x65056767131dcd97,,33.929081499999995,-118.2159869,['Laundry'],3.1,18,,,{'Accessibility': ['Wheelchair accessible entrance']},Open now,"['0x80c2cbf359e59d63:0x199374074b36203f', '0x80c2cb8a6867a41f:0xaed14350513b07a5', '0x80c2cbf16de1008b:0x8ea3beb0888720bf', '0x80c2cb86d098c04d:0xe3a201162c68b8af']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2cb8c539557c1:0x65056767131dcd97?authuser=-1&hl=en&gl=us,California
Notions & Potions candles and more LLC,"Notions & Potions candles and more LLC, 116 N 2nd St, Fort Pierce, FL 34950",0x88def100640e75dd:0xa1ac347dc9531945,,27.447999,-80.323887,['Boutique'],4.8,26,,"[['Sunday', 'Closed'], ['Monday', '10AM–6PM'], ['Tuesday', '10AM–6PM'], ['Wednesday', '10AM–6PM'], ['Thursday', '10AM–6PM'], ['Friday', '10AM–8PM'], ['Saturday', '10AM–6PM']]","{'From the business': ['Identifies as women-led'], 'Service options': ['Curbside pickup', 'Delivery', 'In-store pickup', 'In-store shopping'], 'Health & safety': ['Staff wear masks', 'Staff get temperature checks', 'Staff required to disinfect surfaces between visits'], 'Highlights': ['LGBTQ friendly'], 'Accessibility': ['Wheelchair accessible entrance'], 'Planning': ['Quick visit'], 'Payments': ['Debit cards', 'NFC mobile payments', 'Credit cards']}",Closed ⋅ Opens 10AM Mon,"['0x88def100f72b54cf:0x57e1985b3de7154', '0x88def1b3e6386c9b:0xe86b932944cd3b8e', '0x88def1007fb0f435:0xed7c86e68ec689cd', '0x88deddaed5c86d7f:0xd47c964aa7fe17ec']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88def100640e75dd:0xa1ac347dc9531945?authuser=-1&hl=en&gl=us,Florida
Skanska Precast Facility,"Skanska Precast Facility, Pensacola, FL 32502",0x8890b8cb9ea79c77:0xfdc3fde1d466e33,,30.403667,-87.2459701,['Corporate office'],3.8,18,,,,,"['0x8890c727d4373e69:0xa213a1e074177287', '0x8890c0c5aa4ead43:0x9351bdc33a7b7a3', '0x8890bf76c4ab6bb7:0x8e7dc6c5b84dc6b', '0x8890b8ca7199c113:0x80737765926fedbb', '0x8890c0b2cbcec427:0x5cfc905ffe8ea98']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x8890b8cb9ea79c77:0xfdc3fde1d466e33?authuser=-1&hl=en&gl=us,Florida
